title,sub_title,skills
Computer and Information Research Scientists,Data mining software,Google Analytics Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Development environment software,C Eclipse IDE Microsoft Visual Basic Verilog Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Enterprise application integration software,Extensible markup language XML IBM InfoSphere DataStage Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Enterprise resource planning ERP software,SAP Business Objects Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Enterprise system management software,Splunk Enterprise Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,File versioning software,Git Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Graphical user interface development software,Waikato Environment for Knowledge Analysis Weka Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Graphics or photo imaging software,Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Map creation software,ESRI ArcGIS software Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
Computer and Information Research Scientists,Metadata management software,CA Erwin Data Modeler Minitab SAS StataCorp Stata The MathWorks MATLAB GitHub IBM Cognos Impromptu MicroStrategy Oracle Business Intelligence Enterprise Edition Qlik Tech QlikView Clustermatic Parallel systems software IBM Domino Greenhills Ada compilers Low-level virtual machine LLVM compilers Polaris parallelizing compilers Computer aided design and drafting CADD software PTC Creo Parametric IBM Rational Apex Perforce Software Configuration Management System Apache Hadoop MongoDB NoSQL Teradata Database Apache Hive AWS Redshift Data entry software Structured query language SQL Google Analytics C Eclipse IDE Microsoft Visual Basic Verilog Extensible markup language XML IBM InfoSphere DataStage SAP Business Objects Splunk Enterprise Git Waikato Environment for Knowledge Analysis Weka Graphics pipelines Open Graphics Library OpenGL Three-dimensional 3D graphics software ESRI ArcGIS software CA Erwin Data Modeler Microsoft ActiveX Oracle Java Python Scala PostgreSQL Microsoft Office Linux Shell script Ubuntu UNIX Apache HTTP Server Microsoft PowerPoint Microsoft Project Unified modeling language UML Google AdWords Microsoft Excel Video editing software Plug-in file software Django Extensible stylesheet language transformations XSLT JavaScript PHP: Hypertext Preprocessor
